row,col,filename,nonzero_pixels
33,15,tile_r33_c15.png,189
34,0,tile_r34_c00.png,2304
34,1,tile_r34_c01.png,2304
34,3,tile_r34_c03.png,1152
34,4,tile_r34_c04.png,2304
34,5,tile_r34_c05.png,2304
34,7,tile_r34_c07.png,1152
34,8,tile_r34_c08.png,531
34,9,tile_r34_c09.png,531
34,13,tile_r34_c13.png,765
34,14,tile_r34_c14.png,738
34,15,tile_r34_c15.png,1026
35,0,tile_r35_c00.png,108
35,1,tile_r35_c01.png,432
35,2,tile_r35_c02.png,2304
35,3,tile_r35_c03.png,2304
35,4,tile_r35_c04.png,108
35,5,tile_r35_c05.png,432
35,6,tile_r35_c06.png,2304
35,7,tile_r35_c07.png,2304
35,8,tile_r35_c08.png,1161
35,9,tile_r35_c09.png,1161
35,10,tile_r35_c10.png,1548
35,11,tile_r35_c11.png,1548
35,12,tile_r35_c12.png,1548
35,13,tile_r35_c13.png,972
35,14,tile_r35_c14.png,738
35,15,tile_r35_c15.png,927
36,1,tile_r36_c01.png,1980
36,2,tile_r36_c02.png,1980
36,3,tile_r36_c03.png,2088
36,5,tile_r36_c05.png,1980
36,6,tile_r36_c06.png,1980
36,7,tile_r36_c07.png,2088
36,8,tile_r36_c08.png,99
36,9,tile_r36_c09.png,468
36,10,tile_r36_c10.png,1449
36,11,tile_r36_c11.png,1449
36,12,tile_r36_c12.png,1548
36,13,tile_r36_c13.png,765
37,0,tile_r37_c00.png,2304
37,1,tile_r37_c01.png,2304
37,3,tile_r37_c03.png,1152
37,4,tile_r37_c04.png,2304
37,5,tile_r37_c05.png,2304
37,7,tile_r37_c07.png,1152
37,8,tile_r37_c08.png,648
37,9,tile_r37_c09.png,819
37,10,tile_r37_c10.png,360
37,11,tile_r37_c11.png,360
37,13,tile_r37_c13.png,972
38,0,tile_r38_c00.png,108
38,1,tile_r38_c01.png,432
38,2,tile_r38_c02.png,2304
38,3,tile_r38_c03.png,2304
38,4,tile_r38_c04.png,108
38,5,tile_r38_c05.png,432
38,6,tile_r38_c06.png,2304
38,7,tile_r38_c07.png,2304
38,8,tile_r38_c08.png,756
38,9,tile_r38_c09.png,63
38,10,tile_r38_c10.png,756
38,11,tile_r38_c11.png,63
38,12,tile_r38_c12.png,756
38,13,tile_r38_c13.png,63
38,15,tile_r38_c15.png,324
39,1,tile_r39_c01.png,2007
39,2,tile_r39_c02.png,1980
39,3,tile_r39_c03.png,2088
39,5,tile_r39_c05.png,1980
39,6,tile_r39_c06.png,1980
39,7,tile_r39_c07.png,2088
39,8,tile_r39_c08.png,1692
39,9,tile_r39_c09.png,1773
39,10,tile_r39_c10.png,1692
39,11,tile_r39_c11.png,1773
39,12,tile_r39_c12.png,1692
39,13,tile_r39_c13.png,1773
39,14,tile_r39_c14.png,1647
39,15,tile_r39_c15.png,1854
40,0,tile_r40_c00.png,2304
40,1,tile_r40_c01.png,2304
40,3,tile_r40_c03.png,1152
40,8,tile_r40_c08.png,666
40,9,tile_r40_c09.png,720
40,10,tile_r40_c10.png,666
40,11,tile_r40_c11.png,720
40,12,tile_r40_c12.png,666
40,13,tile_r40_c13.png,720
40,15,tile_r40_c15.png,324
41,0,tile_r41_c00.png,108
41,1,tile_r41_c01.png,432
41,2,tile_r41_c02.png,2304
41,3,tile_r41_c03.png,2304
41,9,tile_r41_c09.png,324
41,11,tile_r41_c11.png,324
41,13,tile_r41_c13.png,324
41,14,tile_r41_c14.png,1647
41,15,tile_r41_c15.png,1854
42,1,tile_r42_c01.png,1980
42,2,tile_r42_c02.png,1980
42,3,tile_r42_c03.png,2088
42,8,tile_r42_c08.png,1647
42,9,tile_r42_c09.png,1854
42,10,tile_r42_c10.png,1647
42,11,tile_r42_c11.png,1854
42,12,tile_r42_c12.png,1647
42,13,tile_r42_c13.png,1854
42,15,tile_r42_c15.png,324
43,0,tile_r43_c00.png,1152
43,2,tile_r43_c02.png,2304
43,3,tile_r43_c03.png,2304
43,4,tile_r43_c04.png,1152
43,6,tile_r43_c06.png,2304
43,7,tile_r43_c07.png,2304
43,12,tile_r43_c12.png,630
43,13,tile_r43_c13.png,630
43,14,tile_r43_c14.png,1647
43,15,tile_r43_c15.png,1854
44,0,tile_r44_c00.png,2304
44,1,tile_r44_c01.png,2304
44,2,tile_r44_c02.png,432
44,3,tile_r44_c03.png,108
44,4,tile_r44_c04.png,2304
44,5,tile_r44_c05.png,2304
44,6,tile_r44_c06.png,432
44,7,tile_r44_c07.png,108
44,8,tile_r44_c08.png,1548
44,9,tile_r44_c09.png,1548
44,10,tile_r44_c10.png,1548
44,11,tile_r44_c11.png,1548
44,12,tile_r44_c12.png,1062
44,13,tile_r44_c13.png,1062
45,0,tile_r45_c00.png,2088
45,1,tile_r45_c01.png,1980
45,2,tile_r45_c02.png,1980
45,4,tile_r45_c04.png,2088
45,5,tile_r45_c05.png,1980
45,6,tile_r45_c06.png,1980
45,8,tile_r45_c08.png,765
45,9,tile_r45_c09.png,765
45,10,tile_r45_c10.png,1449
45,11,tile_r45_c11.png,1449
45,12,tile_r45_c12.png,468
45,13,tile_r45_c13.png,99
46,0,tile_r46_c00.png,1152
46,2,tile_r46_c02.png,2304
46,3,tile_r46_c03.png,2304
46,4,tile_r46_c04.png,1152
46,6,tile_r46_c06.png,2304
46,7,tile_r46_c07.png,2304
46,8,tile_r46_c08.png,972
46,9,tile_r46_c09.png,972
46,10,tile_r46_c10.png,360
46,11,tile_r46_c11.png,360
46,12,tile_r46_c12.png,819
46,13,tile_r46_c13.png,648
47,0,tile_r47_c00.png,2304
47,1,tile_r47_c01.png,2304
47,2,tile_r47_c02.png,432
47,3,tile_r47_c03.png,108
47,4,tile_r47_c04.png,2304
47,5,tile_r47_c05.png,2304
47,6,tile_r47_c06.png,432
47,7,tile_r47_c07.png,108
47,8,tile_r47_c08.png,1089
47,9,tile_r47_c09.png,1035
47,10,tile_r47_c10.png,1089
47,11,tile_r47_c11.png,1035
47,12,tile_r47_c12.png,378
47,13,tile_r47_c13.png,315
48,0,tile_r48_c00.png,2088
48,1,tile_r48_c01.png,1980
48,2,tile_r48_c02.png,1980
48,4,tile_r48_c04.png,2088
